;debt;cpr;prc;notional
0;655808.0;0.0;0.0;0.0
1;649239.8694032521;5784.402194178251;7049.936000000001;783.7284025696108
2;642659.7569105631;5725.776686204388;6979.328596084961;854.3358064846507
3;636067.6406639889;5667.044230793093;6908.592386788554;925.0720157810574
4;629463.4987657113;5608.204632845768;6837.72713713788;995.9372654317312
5;622847.3092779652;5549.257696907907;6766.732611731397;1066.9317908382145
6;616219.0502229653;5490.203227168451;6695.608574738126;1138.0558278314857
7;609578.6995828334;5431.041027459125;6624.354789896877;1209.3096126727341
8;602926.2352995255;5371.770901253802;6552.97102051546;1280.6933820541517
9;596261.635274758;5312.392651667837;6481.4570294699;1352.2073730997117
10;589584.8773699346;5252.90608145742;6409.812579203648;1423.8518233659634
11;582895.9394060728;5193.310993018926;6338.037431726797;1495.6269708428144
12;576194.7991637302;5133.607188388241;6266.131348615283;1567.5330539543284
13;569481.4343829306;5073.794469240125;6194.0940910101;1639.5703115595115
14;562755.8227630899;5013.872636887539;6121.925419616505;1711.7389829531066
15;556017.9419629426;4953.841492280989;6049.625094703217;1784.0393078663947
16;549267.7696004668;4893.700836007869;5977.1928761016325;1856.471526467979
17;542505.2832528105;4833.450468291791;5904.628523205019;1929.0358793645928
18;535730.4604562166;4773.09018899193;5831.931794967712;2001.732607601899
19;528943.278705949;4712.619797602349;5759.102449904329;2074.5619526652827
20;522143.71545621695;4652.039093251344;5686.140246088952;2147.5241564806593
21;515331.7481201009;4591.3478747007675;5613.044941154332;2220.619461415279
22;508507.35406947695;4530.545940345366;5539.816292291085;2293.8481102785263
23;501670.5106349421;4469.633088212107;5466.454056246877;2367.210346322734
24;494821.19510573865;4408.60911595951;5392.957989325628;2440.7064132439837
25;487959.38472967874;4347.473820876972;5319.327847386691;2514.33655518292
26;481085.05671306903;4286.226999884098;5245.563385844047;2588.1010167255645
27;474198.1882206349;4224.868449530022;5171.664359665492;2662.0000429041193
28;467298.75637544435;4163.3979659927345;5097.630523371825;2736.0338791977865
29;460386.73825883237;4101.815345078404;5023.461631036027;2810.2027715335844
30;453462.1109103245;4040.1203822206976;4949.1574362824485;2884.506966287163
31;446524.8513275608;3978.3128724801045;4874.717692285989;2958.9467102836225
32;439574.9364662192;3916.392610543254;4800.142151771279;3033.5222507983326
33;432612.3432399392;3854.3593907222303;4725.4305670118565;3108.233835557755
34;425637.04852024507;3792.2130069538944;4650.582689829346;3183.081712740265
35;418649.02913646895;3729.953252799196;4575.598271592634;3258.0661309769775
36;411648.2618756739;3667.5799214424896;4500.477063217041;3333.1873393525702
37;404634.72348257696;3605.092805690845;4425.218815163495;3408.445587406117
38;397608.3906594717;3542.4916979733634;4349.823277437702;3483.8411251319094
39;390569.2400661509;3479.7763903404834;4274.290199589321;3559.3742029802906
40;383517.2483198291;3416.9466744632928;4198.6193307111225;3635.045071858489
41;376452.3919950648;3354.002341632836;4122.810419438163;3710.8539831314483
42;369374.64762368274;3290.94318275942;4046.8632139469464;3786.801188622665
43;362283.9916946958;3227.7689883719218;3970.7774619545894;3862.886940615022
44;355180.40065422707;3164.4795486170897;3894.5529107179796;3939.111491851632
45;348063.85090543155;3101.0746532588482;3818.1893070329406;4015.475095536671
46;340934.3188084177;3037.5540916775994;3741.6863972333895;4091.978005336222
47;333791.78068016906;2973.917652869524;3665.0439271904906;4168.620475379121
48;326636.2127944654;2910.165125445877;3588.2616423118175;4245.4027602577935
49;319467.591381804;2846.29629763229;3511.339287540504;4322.325115029107
50;312285.89262932073;2782.310957268066;3434.2766073543935;4399.387795215218
51;305091.09268071083;2718.2088918054733;3357.0733457651977;4476.591056804414
52;297883.16763614985;2653.9898883090405;3279.7292463176414;4553.93515625197
53;290662.093552214;2589.6537334548498;3202.244052088611;4631.420350481
54;283427.8464418009;2525.200213529827;3124.6175056863003;4709.046896883311
55;276180.4022740496;2460.6291144310344;3046.8493492493594;4786.8150533202515
56;268919.73697426106;2395.9402216649546;2968.939324446033;4864.725078123578
57;261645.82642381798;2331.133320346783;2890.8871724733067;4942.777230096304
58;254358.6464601047;2266.2081951997106;2812.692634056043;5020.971768513568
59;247058.172876427;2201.1646305542117;2734.355449446126;5099.3089531234855
60;239744.38142193167;2136.002410347325;2655.87535842159;5177.789044148021
61;232417.2478015259;2070.7213181219377;2577.2521002857657;5256.412302283846
62;225076.74767579662;2005.3211370260638;2498.4854138664036;5335.178988703208
63;217722.8566609297;1939.8016498121276;2419.5750375148136;5414.089365054798
64;210355.55032862886;1874.1626388362395;2340.5207091049942;5493.143693464617
65;202974.80420603455;1808.4038860574726;2261.3221660327604;5572.3422365368515
